year,subject,examType,fileName,origin,sourcePath,sourceUrl,sha256,bytes,previousPdfFileName
2015,verbal,even,LEET-2015-verbal-even.pdf,HWP converted using Hancom Viewer,src/public/past-exams/2015/verbal-even-v1.hwp,https://leet.uwayapply.com/board/BoardView.htm?board_id=84&page=4&select=&key=&jjubi=&admin_id=&board_seqnum=50170&row_number=39,e3e5370a79b3c4efd1cd244ca09d31495dbead8bd19bc8df8509a7cb273f3635,628088,LEET-2015-verbal-even-viewer.pdf
2015,reasoning,odd,LEET-2015-reasoning-odd.pdf,Downloaded PDF,src/public/past-exams/2015/reasoning-odd-v1.pdf,https://leet-calculator.site/exams/2015/,df3685ce94e4ed182bd102f59c11851308a867659d38daacaa53843476eec79f,9302371,
2015,reasoning,even,LEET-2015-reasoning-even.pdf,HWP converted using Hancom Viewer,src/public/past-exams/2015/reasoning-even-v1.hwp,https://leet.uwayapply.com/board/BoardView.htm?board_id=84&page=4&select=&key=&jjubi=&admin_id=&board_seqnum=50171&row_number=38,c0100b80e52f7dc4c77672d46b6330e35d3efb2708d86b6d2703cf3e7ec3182e,748459,LEET-2015-reasoning-even-viewer.pdf
2016,verbal,odd,LEET-2016-verbal-odd.pdf,Downloaded PDF,src/public/past-exams/2016/verbal-odd-v1.pdf,https://leet-calculator.site/exams/2016/,64237423a853711ac40eaf11fec0e011edc444073183cbb164e43e5018397769,10255612,
2016,verbal,even,LEET-2016-verbal-even.pdf,HWP converted using Hancom Viewer,src/public/past-exams/2016/verbal-even-v1.hwp,https://leet.uwayapply.com/board/BoardView.htm?board_id=84&page=4&select=&key=&jjubi=&admin_id=&board_seqnum=56651&row_number=36,b058910df711829c0a7400a4fcd1a6651dc0f58d4b2a5c3e83d1a71c99d69e2a,1004087,LEET-2016-verbal-even-viewer.pdf
2016,reasoning,odd,LEET-2016-reasoning-odd.pdf,Downloaded PDF,src/public/past-exams/2016/reasoning-odd-v1.pdf,https://leet-calculator.site/exams/2016/,02dab2993c2dd67a8951a8ce5e70b196e0a2512ae817665746b603842254b6d4,10446695,
2016,reasoning,even,LEET-2016-reasoning-even.pdf,HWP converted using Hancom Viewer,src/public/past-exams/2016/reasoning-even-v1.hwp,https://leet.uwayapply.com/board/BoardView.htm?board_id=84&page=4&select=&key=&jjubi=&admin_id=&board_seqnum=56652&row_number=35,80ea1bbaba74f4bc980f2ca34ac3d37e6a96b1e2f92a0d845ee66fe45dbca40b,898402,LEET-2016-reasoning-even-viewer.pdf
2017,verbal,odd,LEET-2017-verbal-odd.pdf,Downloaded PDF,src/public/past-exams/2017/verbal-odd-v1.pdf,https://leet-calculator.site/exams/2017/,bd51f5e4512c023f40944bb69a5bb184de866bbc098ecdbb7fe2e02292802c21,10278739,
2017,verbal,even,LEET-2017-verbal-even.pdf,User-provided replacement PDF,output/pdf/LEET-2017-verbal-even.pdf,,506bfd561ea9866dafe3e4db22bebaccd6e020eca7bce8f74cbaf7d0091d943d,1046234,2017 언어이해 짝수형.pdf
2017,reasoning,odd,LEET-2017-reasoning-odd.pdf,Downloaded PDF,src/public/past-exams/2017/reasoning-odd-v1.pdf,https://leet-calculator.site/exams/2017/,8bfa8005546816176bee5852edef713d1eb7d1c1bd81315597f65e7b7c96ef27,9149246,
